ID,Source,Élément,Preuve,Confiance,Sévérité,Impact,Recommandation,Référence OWASP,Statut
FIND-001,BeVigil+Yaazhini,Communication HTTP non sécurisée,bevigil_url_export.csv + APICreds2Activity.java:L23,Forte,High,Interception des données sensibles (credentials/PIN) par attaque MitM,Remplacer toutes les URLs HTTP par HTTPS — utiliser SSL/TLS pour toutes les connexions sensibles,MASVS-NETWORK-1,Confirmé
FIND-002,BeVigil+Yaazhini,Backup Android activé,bevigil_rest_api_export.csv + AndroidManifest.xml:L7,Forte,Medium,Extraction des données internes de l'application via ADB backup,Définir android:allowBackup=false dans AndroidManifest.xml,MASVS-STORAGE-4,Confirmé
FIND-003,Yaazhini,Mode debug activé,AndroidManifest.xml:L7 — android:debuggable=true,Forte,Medium,Accès aux données internes et injection de code via ADB en mode debug,Supprimer android:debuggable ou le définir à false en production,MASVS-RESILIENCE-2,Confirmé
FIND-004,Yaazhini,ContentProvider exporté sans protection,AndroidManifest.xml:L36 — android:exported=true,Forte,Medium,Accès non autorisé aux données du provider par des applications tierces,Définir android:exported=false ou protéger l'accès par une permission explicite,MASVS-PLATFORM-2,Confirmé
FIND-005,Yaazhini,JavaScript activé dans WebView,InputValidation2URISchemeActivity.java:L14 — setJavaScriptEnabled(true),Moyenne,Low,Exécution de code JavaScript arbitraire — vulnérabilité XSS possible,Désactiver JavaScript si non nécessaire — auditer le contenu chargé dans la WebView,MASVS-PLATFORM-5,À confirmer
FIND-006,Yaazhini,Stockage de données sur stockage externe,InsecureDataStorage4Activity.java:L24 — fichier .uinfo.txt sur SD card,Forte,Medium,Données utilisateur lisibles et modifiables par toute application ou utilisateur,Utiliser le stockage interne — chiffrer les données si le stockage externe est requis,MASVS-STORAGE-2,Confirmé
FIND-007,BeVigil,Endpoints REST API exposés,bevigil_rest_api_export.csv — multiples endpoints découverts,Moyenne,Medium,Cartographie de la surface d'attaque — endpoints accessibles sans authentification potentielle,Sécuriser les endpoints avec authentification et autorisation — appliquer le principe du moindre privilège,MASVS-NETWORK-2,À confirmer
FIND-008,BeVigil,URLs Firebase exposées,bevigil_firebase_url_export.csv — Firebase URLs détectées,Moyenne,High,Accès potentiel non autorisé à la base de données Firebase si les règles de sécurité sont mal configurées,Vérifier et renforcer les règles de sécurité Firebase — désactiver l'accès public en lecture/écriture,MASVS-STORAGE-1,À confirmer
FIND-009,BeVigil,Adresses IP exposées dans l'application,bevigil_ip_address_export.csv + bevigil_ip_url_export.csv,Moyenne,Low,Cartographie de l'infrastructure backend — facilite les attaques ciblées,Éviter d'exposer les IPs internes dans le code — utiliser des noms de domaine avec DNS,MASVS-NETWORK-1,À confirmer
FIND-010,Yaazhini,Absence de protection copier/coller sur champs sensibles,34 occurrences dans les layouts XML (activity_apicreds2.xml — activity_insecure_data_storage*.xml — activity_hardcode*.xml),Forte,Low,Fuite de données sensibles (PIN — mots de passe) via le clipboard Android accessible par des apps tierces,Désactiver le copier/coller sur les EditText contenant des données sensibles,MASVS-PLATFORM-4,Confirmé
FIND-011,Yaazhini,Absence de protection contre les captures d'écran,17 occurrences dans l'application — aucun FLAG_SECURE implémenté,Forte,Low,Fuite de données sensibles affichées à l'écran via screenshots — accessibles dans la galerie,Implémenter FLAG_SECURE sur les activités affichant des données sensibles,MASVS-RESILIENCE-4,Confirmé
FIND-012,BeVigil,URLs relatives exposées,bevigil_relative_endpoint_export.csv — chemins d'accès relatifs découverts,Faible,Low,Information sur la structure interne de l'API — utilisable pour fuzzing ou énumération,Éviter d'exposer les chemins internes dans le code client — utiliser une gateway API,MASVS-NETWORK-2,À confirmer
